race,age,engnat,gender,hand,source,country,E,N,A,C,O,maximum,personality_type
3,53,1,1,1,1,US,3.2,1.9,3.2,3.1,3.1,3.2,E
13,46,1,2,1,1,US,2.8,2.9,3.1,2.8,2.6,3.1,A
1,14,2,2,1,1,PK,2.9,4.6,3.8,3.3,4.1,4.6,N
3,19,2,2,1,1,RO,3.6,4.3,3.7,3.4,3.7,4.3,N
11,25,2,2,1,2,US,2.6,3.2,4.0,2.6,2.2,4.0,A
13,31,1,2,1,2,US,2.8,3.2,3.4,3.7,3.5,3.7,C
5,20,1,2,1,5,US,3.2,2.5,3.7,3.0,2.9,3.7,A
4,23,2,1,1,2,IN,3.5,1.9,3.1,3.0,3.0,3.5,E
5,39,1,2,3,4,US,3.1,3.7,3.3,3.5,3.7,3.7,N
3,18,1,2,1,5,US,2.9,3.3,2.7,3.2,3.3,3.3,N
3,17,2,2,1,1,IT,2.9,3.6,2.9,3.2,3.8,3.8,O
13,15,2,1,1,1,IN,3.2,2.8,3.7,3.4,3.4,3.7,A
13,22,1,2,1,2,US,3.0,2.9,3.2,3.3,3.1,3.3,C
3,21,1,2,1,5,US,2.5,3.8,2.7,3.3,3.1,3.8,N
3,28,2,2,1,2,US,3.2,3.1,3.0,3.2,3.2,3.2,E
3,21,1,1,1,5,US,2.6,2.3,2.9,3.0,3.5,3.5,O
13,19,1,2,1,2,FR,2.8,2.3,2.5,3.2,3.5,3.5,O
3,21,1,2,1,5,US,3.2,3.2,3.4,2.8,3.1,3.4,A
3,26,1,2,3,5,GB,2.8,2.6,2.6,3.2,2.9,3.2,C
3,26,1,2,1,1,US,2.6,2.9,2.9,2.3,3.2,3.2,O
13,19,2,2,1,1,LT,3.1,4.0,3.4,3.0,3.5,4.0,N
11,29,2,2,1,1,US,2.8,1.8,2.6,3.1,3.3,3.3,O
3,29,1,2,1,2,US,2.7,3.2,3.1,3.2,3.5,3.5,O
3,21,1,1,2,2,CA,3.3,2.8,3.1,3.3,3.2,3.3,E
3,52,1,2,1,1,US,3.5,2.8,3.1,3.5,3.8,3.8,O
3,19,2,2,1,1,GR,2.7,2.9,3.3,2.7,3.5,3.5,O
3,48,1,1,1,2,US,3.4,3.4,3.7,3.6,3.2,3.7,A
3,22,1,1,1,4,US,3.0,2.8,2.6,3.0,2.9,3.0,E
1,17,1,2,1,1,US,3.2,3.9,3.3,2.8,3.3,3.9,N
3,37,2,1,1,3,DK,2.9,2.3,3.2,2.7,3.2,3.2,A
1,19,1,2,1,1,US,2.9,3.6,3.8,2.3,3.2,3.8,A
3,22,1,2,1,1,US,3.2,3.0,3.4,3.1,3.5,3.5,O
3,25,1,1,2,4,US,3.0,2.6,3.2,3.4,3.0,3.4,C
3,20,1,2,1,1,US,3.2,3.5,3.5,2.2,3.4,3.5,N
3,15,1,2,2,1,GB,3.0,3.1,3.5,3.3,2.7,3.5,A
3,46,1,2,2,3,US,2.3,3.7,3.1,3.1,3.6,3.7,N
3,15,1,1,1,1,GB,3.1,2.5,3.5,3.4,3.8,3.8,O
3,18,1,2,2,2,US,2.4,2.9,3.0,2.8,3.4,3.4,O
3,42,1,1,1,3,US,3.1,2.6,2.7,3.2,3.5,3.5,O
3,27,1,2,1,1,US,2.5,3.1,2.9,3.3,3.3,3.3,C
1,17,1,1,1,1,US,2.6,1.8,3.4,2.6,3.8,3.8,O
8,17,1,2,1,5,US,3.5,4.1,3.3,3.4,2.5,4.1,N
6,17,1,2,1,5,US,2.9,3.3,3.1,3.1,3.4,3.4,O
13,60,1,2,1,5,US,2.8,3.8,4.0,3.4,3.5,4.0,A
3,27,1,2,1,2,CA,3.3,3.8,3.4,3.5,3.6,3.8,N
3,19,1,2,1,2,US,3.5,3.3,2.9,3.7,3.6,3.7,C
3,20,1,1,1,1,US,3.0,2.8,3.1,2.9,3.3,3.3,O
4,19,1,1,1,1,IN,3.0,1.6,3.5,3.3,3.0,3.5,A
13,26,2,2,1,1,US,3.0,4.2,3.3,3.1,3.4,4.2,N
6,24,2,1,1,1,MX,2.8,3.9,3.3,3.4,3.9,3.9,N
3,19,1,2,2,1,US,2.6,3.5,3.1,3.7,3.4,3.7,C
3,18,1,2,1,5,GB,2.9,4.4,3.0,3.6,4.2,4.4,N
3,14,1,2,1,1,US,2.3,3.5,2.8,2.9,3.6,3.6,O
13,25,2,2,1,1,IN,2.4,2.2,3.1,2.8,2.4,3.1,A
3,47,1,1,1,1,US,2.8,3.2,3.0,3.2,3.4,3.4,O
3,18,1,1,1,5,US,3.0,3.2,2.8,3.1,3.6,3.6,O
3,23,2,1,2,1,SE,3.2,4.2,3.1,3.4,3.5,4.2,N
3,14,1,3,1,1,GB,2.2,3.5,2.2,3.2,2.8,3.5,N
3,20,1,2,1,1,US,2.7,3.2,3.0,2.5,3.7,3.7,O
5,35,1,2,2,1,US,2.6,3.5,3.2,2.9,3.8,3.8,O
3,34,1,2,1,1,US,3.1,2.7,3.3,3.0,2.9,3.3,A
13,36,2,2,1,1,JO,4.3,4.3,4.2,3.7,3.0,4.3,E
3,15,1,1,1,1,US,3.4,3.7,3.2,3.4,3.6,3.7,N
3,20,1,1,1,1,US,3.1,2.3,3.7,3.6,3.3,3.7,A
3,54,1,2,1,1,CA,2.8,2.2,3.1,3.6,3.4,3.6,C
3,47,2,1,1,5,US,3.2,2.7,3.5,2.7,3.4,3.5,A
4,17,2,1,1,1,IN,3.9,4.4,4.4,3.4,3.6,4.4,N
11,45,2,1,1,1,US,3.5,2.3,3.4,3.3,3.3,3.5,E
3,32,1,2,1,2,US,2.8,3.9,3.0,3.8,2.9,3.9,N
3,23,2,2,1,2,NO,2.8,3.3,3.1,2.9,3.3,3.3,N
11,23,1,2,1,1,US,2.9,2.4,3.2,2.9,2.9,3.2,A
3,14,1,2,1,1,US,2.5,4.0,3.0,3.7,3.4,4.0,N
3,19,1,1,1,1,IE,3.4,3.4,3.3,3.2,3.4,3.4,E
3,15,1,2,1,1,NZ,3.4,3.8,2.9,3.5,3.2,3.8,N
3,49,2,2,1,1,FI,3.2,3.1,3.3,3.1,3.6,3.6,O
5,47,1,2,2,2,US,3.1,3.0,3.2,3.2,3.7,3.7,O
3,23,2,2,1,2,BE,3.1,3.8,3.2,2.9,3.5,3.8,N
3,19,2,2,1,1,FI,2.8,3.4,2.8,3.4,3.6,3.6,O
3,36,1,1,1,1,US,2.9,3.6,3.3,3.4,3.8,3.8,O
3,21,1,2,1,1,GB,3.2,3.5,3.2,3.5,3.6,3.6,O
3,21,2,2,1,1,BE,2.5,4.0,3.4,3.9,3.7,4.0,N
3,13,1,1,1,1,GB,3.5,4.4,3.0,3.3,3.0,4.4,N
13,21,2,2,1,5,US,2.9,3.0,3.2,2.8,3.1,3.2,A
3,32,2,1,1,1,HR,3.1,1.8,3.3,2.9,3.0,3.3,A
3,33,1,2,1,1,US,3.1,2.9,2.9,2.8,3.7,3.7,O
